_id,AIR_CONDITIONING_TYPE,AMENITIES_AVAILABLE,ANNUAL_FIRE_ALARM_TEST_RECORDS,ANNUAL_FIRE_PUMP_FLOW_TEST_RECORDS,APPROVED_FIRE_SAFETY_PLAN,BALCONIES,BARRIER_FREE_ACCESSIBILTY_ENTR,BIKE_PARKING,CONFIRMED_STOREYS,CONFIRMED_UNITS,DATE_OF_LAST_INSPECTION_BY_TSSA,DESCRIPTION_OF_CHILD_PLAY_AREA,DESCRIPTION_OF_INDOOR_EXERCISE_ROOM,DESCRIPTION_OF_OUTDOOR_REC_FACILITIES,ELEVATOR_PARTS_REPLACED,ELEVATOR_STATUS,EMERG_POWER_SUPPLY_TEST_RECORDS,EXTERIOR_FIRE_ESCAPE,FACILITIES_AVAILABLE,FIRE_ALARM,GARBAGE_CHUTES,GREEN_BIN_LOCATION,HEATING_EQUIPMENT_STATUS,HEATING_EQUIPMENT_YEAR_INSTALLED,HEATING_TYPE,INDOOR_GARBAGE_STORAGE_AREA,INTERCOM,IS_THERE_A_COOLING_ROOM,IS_THERE_EMERGENCY_POWER,LAUNDRY_ROOM,LAUNDRY_ROOM_HOURS_OF_OPERATION,LAUNDRY_ROOM_LOCATION,LOCKER_OR_STORAGE_ROOM,NO_BARRIER_FREE_ACCESSBLE_UNITS,NO_OF_ACCESSIBLE_PARKING_SPACES,NO_OF_ELEVATORS,NO_OF_LAUNDRY_ROOM_MACHINES,NON_SMOKING_BUILDING,OUTDOOR_GARBAGE_STORAGE_AREA,PARKING_TYPE,PCODE,PET_RESTRICTIONS,PETS_ALLOWED,PROP_MANAGEMENT_COMPANY_NAME,PROPERTY_TYPE,RECYCLING_BINS_LOCATION,RSN,SEPARATE_GAS_METERS_EACH_UNIT,SEPARATE_HYDRO_METER_EACH_UNIT,SEPARATE_WATER_METERS_EA_UNIT,SITE_ADDRESS,SPRINKLER_SYSTEM,SPRINKLER_SYSTEM_TEST_RECORD,SPRINKLER_SYSTEM_YEAR_INSTALLED,TSSA_TEST_RECORDS,VISITOR_PARKING,WARD,WINDOW_TYPE,YEAR_BUILT,YEAR_OF_REPLACEMENT,YEAR_REGISTERED,NO_OF_STOREYS,IS_THERE_EMERGENCY_POWER?,NON-SMOKING_BUILDING,NO_OF_UNITS,NO_OF_ACCESSIBLEPARKING_SPACES,FACILITIES_AVAILABLE?,IS_THERE_A_COOLING_ROOM?,NO_BARRIERFREE_ACCESSBLE_UNITS
62308,NONE,Outdoor pool,YES,YES,YES,YES,NO,Not Available,7.0,110.0,"FEB 15, 2017",,,,,REPLACED,YES,NO,Green Bin / Organics,YES,NO,OUTDOOR GARBAGE ENCLOSURE,REPLACED,2002.0,HOT WATER,NO,YES,NO,YES,YES,6AM-12AM,GROUND FLOOR,YES,0.0,99.0,2.0,12.0,NO,YES,"Carport , Surface Parking",M9B,,YES,LEEDALE CONSTRUCTION LTD,PRIVATE,OUTDOOR GARBAGE ENCLOSURE,4155399.0,NO,YES,NO,530  THE EAST MALL  ,YES,YES,1990.0,YES,FREE,2,DOUBLE PANE,1960.0,2006.0,2017.0,,,,,,,,
62309,NONE,,YES,YES,YES,YES,NO,Not Available,16.0,122.0,"APR 2, 2019",,,,ALL,REPLACED,YES,NO,Recycling bins,YES,YES,,REPLACED,2018.0,HOT WATER,YES,YES,NO,YES,YES,24/7,MAIN FLOOR,YES,0.0,0.0,2.0,16.0,YES,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",M9B,,YES,,PRIVATE,NEXT TO THE GARBAGE OUTSIDE,4155400.0,NO,YES,NO,580  THE EAST MALL  ,YES,YES,1995.0,YES,FREE,2,DOUBLE PANE,1972.0,2015.0,2018.0,,,,,,,,
62310,NONE,,YES,YES,YES,YES,NO,Not Available,7.0,90.0,"FEB 1, 2017",,,,INTERIOR AND CONTROLS,REPLACED,,NO,Recycling bins,YES,NO,,ORIGINAL,1969.0,HOT WATER,NO,YES,NO,NO,YES,8AM - 10PM,MAIN FLOOR,YES,0.0,0.0,2.0,16.0,NO,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",M9B,,YES,,PRIVATE,SOUTH SIDE OF BUILDING,4155401.0,NO,YES,NO,535  THE EAST MALL  ,YES,YES,1969.0,YES,UNAVAILABLE,2,DOUBLE PANE,1969.0,2006.0,2017.0,,,,,,,,
62311,NONE,,YES,YES,YES,NO,NO,Not Available,7.0,33.0,"OCT 15, 2016",,,,"MACHINE, HOISTS, CAB INTERIOR",REPLACED,YES,NO,Recycling bins,YES,YES,,REPLACED,1992.0,FORCED AIR GAS,YES,YES,NO,YES,YES,CONTINUOUS,SEVERAL THROUGHOUT BUILDING,NO,0.0,0.0,1.0,6.0,NO,YES,"Ground Level Garage , Carport , Surface Parking",M9B,AS SET FORTH IN RTA,YES,KROMA MANAGEMENT LTD.,PRIVATE,REAR OF BUILDING,4155402.0,NO,NO,NO,1  RABBIT LANE ,NO,,,YES,FREE,2,DOUBLE PANE,1970.0,2009.0,2017.0,,,,,,,,
62312,NONE,,YES,YES,YES,YES,NO,Not Available,5.0,61.0,"AUG 15, 2017",,,,COMPLETE MODERNISATION ,REPLACED,,NO,Green Bin / Organics,YES,NO,BACK OF THE BUILDING,REPLACED,2016.0,HOT WATER,NO,YES,NO,NO,YES,24 HRS,1ST FLOOR,NO,0.0,1.0,1.0,8.0,NO,YES,"Ground Level Garage , Surface Parking",M9R,,YES,CAPREIT,PRIVATE,BACK OF THE BUILDING,4155414.0,NO,YES,NO,55  BRIDESBURG DR ,YES,YES,1965.0,YES,FREE,1,DOUBLE PANE,1965.0,2012.0,2017.0,,,,,,,,
62313,NONE,,YES,YES,YES,YES,NO,Not Available,6.0,32.0,"AUG 15, 2017",,,,,ORIGINAL,,NO,Green Bin / Organics,YES,NO,BACK OF THE BUILDING,ORIGINAL,1965.0,HOT WATER,NO,YES,NO,NO,YES,24 HRS,GROUND FLOOR,NO,0.0,0.0,1.0,4.0,NO,YES,Surface Parking,M9R,,YES,CAPREIT,PRIVATE,BACK OF THE BUILDING,4155418.0,NO,YES,NO,41  BLACKFRIAR AVE ,YES,YES,1965.0,YES,FREE,1,DOUBLE PANE,1965.0,,2017.0,,,,,,,,
62314,NONE,,YES,YES,YES,YES,NO,Not Available,3.0,45.0,,,,,,,YES,YES,Recycling bins,YES,NO,,REPLACED,2005.0,HOT WATER,NO,YES,NO,YES,YES,24 HOURS,ON EACH FLOOR ,YES,0.0,0.0,0.0,6.0,NO,YES,Surface Parking,M9W,,NO,,PRIVATE,PARKING LOT,4155426.0,NO,YES,NO,15  JANSUSIE RD ,YES,YES,1967.0,,FREE,1,DOUBLE PANE,1967.0,,2017.0,,,,,,,,
62315,NONE,,YES,YES,YES,YES,YES,Not Available,6.0,50.0,"MAY 1, 2017",,,,,ORIGINAL,YES,NO,Recycling bins,YES,YES,,REPLACED,2005.0,HOT WATER,NO,YES,NO,YES,YES,8:00 A.M. TO 11:00 P.M.,MAIN FLOOR,YES,0.0,2.0,1.0,8.0,NO,YES,Surface Parking,M1G,,YES,R A B PROPERTIES LIMITED,PRIVATE,EXTERIOR,4156174.0,NO,YES,NO,1  MEADOWGLEN PL ,NO,,,YES,FREE,24,DOUBLE PANE,1960.0,,2017.0,,,,,,,,
62316,NONE,,YES,YES,YES,YES,YES,Not Available,21.0,236.0,"MAY 15, 2017",,,,EVERYTHING,REPLACED,YES,NO,Green Bin / Organics,YES,YES,OUTSIDE BACK OF BUILDING,ORIGINAL,1965.0,HOT WATER,YES,YES,NO,YES,YES,7 AM TO 11 PM,GROUND FLOOR,YES,239.0,2.0,3.0,20.0,NO,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking , Parking Deck",M1J,NO RESTRICTIONS,YES,METCAP LIVING MANAGEMENT INC,PRIVATE,OUTSIDE BACK OF BUILDING,4152799.0,NO,NO,NO,25  COUGAR CRT ,YES,YES,1968.0,YES,FREE,24,SINGLE PANE,1965.0,2000.0,2017.0,,,,,,,,
62317,NONE,,YES,NO,YES,YES,NO,Not Available,5.0,39.0,,,,,,,,NO,Unknown,YES,NO,,ORIGINAL,1980.0,HOT WATER,NO,YES,NO,NO,YES,9:00 A.M. TO 8:00 P.M.,BASEMENT,NO,0.0,45.0,1.0,4.0,YES,YES,"Carport , Surface Parking",M3M,GUIDE DOGS,NO,,PRIVATE,,4154404.0,NO,YES,NO,2233  JANE ST ,NO,,,,FREE,6,THERMAL,1965.0,,2017.0,,,,,,,,
62318,,,,,,,YES,Not Available,11.0,118.0,,,,,,,,,Green Bin / Organics,,YES,OUTSIDE,,,,YES,,,,YES,8-9,BASEMENT,YES,117.0,2.0,2.0,14.0,NO,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",M3M,IF SERVICE ANIMALS. ,NO,,PRIVATE,OUTSIDE,4154409.0,,,,5  AGATE RD ,,,,,FREE,6,DOUBLE PANE,1967.0,,2018.0,,,,,,,,
62319,NONE,,YES,NO,NO,NO,NO,Not Available,3.0,12.0,,,,,,,,NO,Green Bin / Organics,YES,NO,OUTSIDE,REPLACED,2012.0,HOT WATER,NO,YES,NO,NO,YES,9 AM - 9 PM,FIRST FLLOOR,NO,0.0,12.0,0.0,4.0,YES,YES,Ground Level Garage,M3M,,NO,THISTLE C.N.C LTD.,PRIVATE,OUTSIDE,4154413.0,NO,YES,NO,1  WANDLE AVE ,NO,,,,UNAVAILABLE,6,DOUBLE PANE,1954.0,,2017.0,,,,,,,,
62320,NONE,,YES,YES,YES,NO,NO,Not Available,3.0,12.0,,,,,,,,NO,Green Bin / Organics,YES,NO,OUTSIDE WITH GARBAGE BINS,REPLACED,2007.0,HOT WATER,NO,YES,NO,NO,YES,8 AM TO 10 PM,BASEMENT,NO,0.0,12.0,0.0,4.0,NO,YES,"Ground Level Garage , Surface Parking",M3M,,YES,MARSHA SWITZER,PRIVATE,OUTSIDE SOUTH SIDE OF BUILDING,4154416.0,NO,YES,NO,2816  KEELE ST ,NO,,,,UNAVAILABLE,6,DOUBLE PANE,1955.0,,2017.0,,,,,,,,
62321,NONE,,YES,YES,YES,NO,NO,Not Available,3.0,11.0,,,,,,,YES,NO,Green Bin / Organics,YES,NO,OUTSIDE BUILDING,REPLACED,2005.0,FORCED AIR GAS,NO,NO,NO,YES,YES,24 HOURS,BASEMENT,YES,0.0,5.0,0.0,3.0,NO,YES,"Ground Level Garage , Surface Parking",M3M,,YES,,PRIVATE,OUTSIDE BUILDING,4154425.0,NO,YES,NO,2852  KEELE ST ,NO,,,,UNAVAILABLE,6,SINGLE PANE,1945.0,,2017.0,,,,,,,,
62322,NONE,Child play area,YES,YES,YES,YES,NO,Not Available,20.0,159.0,"NOV 10, 2015",CHILDREN'S PLAY STRUCTURE ,,,,ORIGINAL,YES,NO,Recycling bins,YES,YES,,ORIGINAL,1968.0,HOT WATER,NO,YES,NO,YES,YES,24 HRS ,BASEMENT ,YES,0.0,0.0,3.0,14.0,NO,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",M3M,MUST BE LEASHED ,YES,PSN PROPERTIES INC. ,PRIVATE,REAR OF BUILDING ,4154434.0,NO,YES,NO,195  EXBURY RD ,YES,YES,1968.0,YES,FREE,6,DOUBLE PANE,1968.0,,2017.0,,,,,,,,
62323,NONE,,YES,YES,YES,YES,NO,Not Available,7.0,72.0,"AUG 2, 2017",,,,CAR,REPLACED,,NO,Recycling bins,YES,YES,,REPLACED,2007.0,HOT WATER,NO,YES,NO,NO,YES,24 HOURS,2ND FLOOR,YES,0.0,0.0,2.0,8.0,NO,YES,"Ground Level Garage , Surface Parking",M3A,NONE,YES,GOLFOUR PROPERTY SERVICES INC.,PRIVATE,OUTSIDE IN GARBAGE EMCLOSURE,4154916.0,NO,YES,NO,267  ROYWOOD DR ,NO,,,YES,FREE,16,DOUBLE PANE,1962.0,2002.0,2017.0,,,,,,,,
62324,NONE,,YES,YES,YES,YES,NO,Not Available,7.0,73.0,"DEC 7, 2015",,,,,REPLACED,YES,NO,Recycling bins,YES,YES,,REPLACED,2005.0,HOT WATER,YES,YES,NO,YES,YES,9:00AM-10:00PM,GROUND FLOOR,NO,0.0,1.0,2.0,8.0,NO,NO,"Underground Garage , Ground Level Garage , Surface Parking",M3A,,YES,HANNAH PROPERTY MANAGEMENT,PRIVATE,BEHIND THE BUILDING,4154919.0,NO,YES,NO,1274  YORK MILLS RD ,NO,,,YES,FREE,16,DOUBLE PANE,1970.0,2013.0,2017.0,,,,,,,,
62325,NONE,,YES,NO,YES,YES,NO,Not Available,4.0,25.0,"MAR 1, 2017",,,,,REPLACED,,NO,Green Bin / Organics,YES,NO,OUTDOOR,REPLACED,2013.0,HOT WATER,NO,YES,NO,NO,YES,8:00 AM - 10:00 PM,"FLOORS 2, 3, 4",YES,0.0,29.0,1.0,6.0,NO,YES,"Ground Level Garage , Surface Parking",M3A,,YES,ARMBRO GROUP INC,PRIVATE,OUTDOOR,4154925.0,NO,YES,NO,1222  YORK MILLS RD ,YES,YES,1963.0,YES,FREE,16,DOUBLE PANE,1963.0,2016.0,2017.0,,,,,,,,
62326,INDIVIDUAL UNITS,,YES,NO,YES,NO,NO,Not Available,4.0,32.0,,,,,,,,NO,Recycling bins,YES,NO,,REPLACED,1990.0,HOT WATER,NO,YES,NO,NO,YES,24 HOURS,BASEMENT,YES,0.0,0.0,0.0,4.0,NO,YES,Ground Level Garage,M5P,NONE,YES,,PRIVATE,BACK OF THE BUILDING,4154935.0,NO,NO,NO,1535-1539  BATHURST ST ,NO,,,,UNAVAILABLE,12,SINGLE PANE,1943.0,,2017.0,,,,,,,,
62327,NONE,"Outdoor pool , Indoor exercise room",YES,YES,YES,YES,YES,Not Available,23.0,175.0,"JUN 1, 2017",,GYM,,,ORIGINAL,,NO,Green Bin / Organics,YES,YES,BACK OF BUILDING ,ORIGINAL,1966.0,ELECTRIC,NO,YES,NO,NO,YES,24 HOURS; 7 DAYS A WEEK,MAIN FLOOR,NO,175.0,4.0,3.0,10.0,NO,YES,"Underground Garage , Surface Parking",M6C,,YES,BARNEY RIVER ,PRIVATE,BACK OF BUILDING ,4154940.0,NO,NO,NO,111  RAGLAN AVE ,YES,YES,1966.0,YES,FREE,12,DOUBLE PANE,1967.0,,2017.0,,,,,,,,
62328,NONE,,YES,NO,YES,NO,NO,Not Available,3.0,18.0,,,,,,,NO,YES,Recycling bins,YES,NO,,REPLACED,1996.0,HOT WATER,NO,NO,NO,YES,YES,24 HOURS,BASEMENT,YES,0.0,0.0,0.0,4.0,NO,YES,,M6C,NONE,YES,VESTA MANAGEMENT INC,PRIVATE,SIDE OF BUIDLING,4154941.0,NO,NO,NO,5  CLAXTON BLVD ,YES,YES,2014.0,,UNAVAILABLE,12,DOUBLE PANE,1937.0,,2017.0,,,,,,,,
62329,NONE,,YES,NO,YES,NO,NO,Not Available,3.0,19.0,,,,,,,,YES,Green Bin / Organics,YES,NO,UNITS,REPLACED,2005.0,HOT WATER,NO,NO,NO,NO,YES,24HR,BASEMENT,YES,0.0,1.0,0.0,4.0,YES,YES,Surface Parking,M6C,,NO,CANAL PROPERTY MANAGEMENT,PRIVATE,SIDE OF BUILDING,4154942.0,NO,NO,NO,3  CLAXTON BLVD ,NO,,,,UNAVAILABLE,12,SINGLE PANE,1955.0,,2017.0,,,,,,,,
62330,NONE,,YES,NO,YES,YES,NO,Not Available,3.0,16.0,,,,,,,,NO,Green Bin / Organics,YES,NO,EXTERIOR,REPLACED,2012.0,FORCED AIR GAS,NO,YES,NO,NO,YES,8-10,BASEMENT,YES,0.0,0.0,0.0,2.0,NO,YES,"Ground Level Garage , Surface Parking",M9W,PREFER NO PETS,NO,,PRIVATE,EXTERIOR,4155434.0,NO,YES,NO,14  TORBOLTON DR ,YES,NO,1950.0,,UNAVAILABLE,1,DOUBLE PANE,1950.0,,2017.0,,,,,,,,
62331,NONE,,YES,YES,YES,YES,NO,Not Available,7.0,68.0,"JAN 26, 2015",,,,,ORIGINAL,,NO,Green Bin / Organics,YES,NO,PARKING LOT,ORIGINAL,1962.0,HOT WATER,NO,YES,NO,NO,YES,"24 HOURS, 7 DAYS A WEEK",MAIN FLOOR,YES,0.0,0.0,1.0,16.0,NO,YES,Surface Parking,M9W,,YES,ORCHARD APARTMENTS (2328) INC,PRIVATE,PARKING LOT,4155442.0,NO,NO,NO,2328  ISLINGTON AVE ,YES,YES,1962.0,YES,FREE,1,DOUBLE PANE,1962.0,,2017.0,,,,,,,,
62332,NONE,,YES,YES,YES,YES,NO,Not Available,19.0,343.0,"DEC 1, 2017",,,,,ORIGINAL,,NO,Recycling bins,YES,YES,,REPLACED,2015.0,HOT WATER,NO,YES,NO,NO,YES,9 TO 9,BASEMENT,NO,0.0,0.0,2.0,12.0,NO,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",M9V,,YES,METCAP LIVING MANAGEMENT INC,PRIVATE,BACK,4155454.0,NO,YES,NO,2757  KIPLING AVE ,YES,YES,2007.0,YES,PAID,1,DOUBLE PANE,1976.0,,2018.0,,,,,,,,
62333,NONE,,YES,YES,YES,NO,YES,Not Available,3.0,45.0,,,,,,,,NO,Green Bin / Organics,YES,YES,BACK OF THE BUILDING,ORIGINAL,1969.0,HOT WATER,NO,YES,NO,NO,YES,7:00 AM- 10:00 PM ,MAIN FLOOR,NO,1.0,2.0,0.0,6.0,YES,YES,Surface Parking,M1K,,YES,DEL MANAGMENT,TCHC,BACK OF BUILDING,4156240.0,NO,NO,NO,30  EPPLEWORTH RD ,YES,YES,1969.0,,PAID,20,SINGLE PANE,1969.0,,2017.0,,,,,,,,
62334,NONE,,YES,YES,YES,YES,YES,Not Available,6.0,22.0,"APR 16, 2015",,,,FULL REPLACEMENT - MCE,REPLACED,YES,YES,Green Bin / Organics,YES,YES,COMPACTOR ROOM,ORIGINAL,1970.0,HOT WATER,YES,YES,NO,YES,YES,7:00 AM- 10:00 PM ,MAIN FLOOR,YES,2.0,4.0,1.0,4.0,YES,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",M1K,,NO,TCH,TCHC,BACK OF BUILDING,4156268.0,NO,NO,NO,49  GILDER DR ,YES,YES,1970.0,YES,PAID,21,DOUBLE PANE,1970.0,1994.0,2017.0,,,,,,,,
62335,NONE,,YES,YES,YES,NO,NO,Not Available,4.0,14.0,,,,,,,,YES,Green Bin / Organics,YES,NO,IN PARKING LOT,REPLACED,2013.0,HOT WATER,NO,YES,NO,NO,YES,24/7,LOWER LEVEL,YES,0.0,45.0,0.0,2.0,YES,YES,Surface Parking,M9A,,YES,1564534 ONTARIO LTD,PRIVATE,IN PARKING LOT,4156289.0,NO,YES,NO,4752  DUNDAS ST W,YES,YES,2000.0,,UNAVAILABLE,2,DOUBLE PANE,1950.0,,2017.0,,,,,,,,
62336,NONE,,YES,YES,YES,YES,NO,Not Available,15.0,210.0,"APR 7, 2016",,,,"CABIN, SAFETY",REPLACED,,NO,Recycling bins,YES,YES,,REPLACED,2010.0,HOT WATER,NO,YES,NO,NO,YES,8,BASEMENT,NO,0.0,1.0,3.0,16.0,NO,YES,"Underground Garage , Ground Level Garage , Garage accessible thru buildg",M1G,AS PER LEASE AGREEMENT,YES,,PRIVATE,,4152826.0,NO,NO,NO,20  TUXEDO CRT ,YES,YES,1970.0,YES,FREE,24,DOUBLE PANE,1970.0,2019.0,2017.0,,,,,,,,
62337,NONE,"Outdoor pool , Child play area",YES,YES,YES,YES,NO,Not Available,13.0,165.0,"APR 10, 2017",,,,UNKNOWN,REPLACED,YES,NO,Recycling bins,YES,YES,,REPLACED,2013.0,HOT WATER,NO,YES,NO,YES,YES,10AM - 9PM,SECOND FLOOR,NO,0.0,0.0,2.0,16.0,NO,YES,"Underground Garage , Ground Level Garage , Garage accessible thru buildg , Carport , Surface Parking",M1C,,YES,METCAP LIVING MANAGEMENT INC,PRIVATE,BACK OF BUILDING,4152833.0,NO,NO,NO,750  MORNINGSIDE AVE ,YES,YES,1973.0,NO,FREE,24,DOUBLE PANE,1973.0,2012.0,2017.0,,,,,,,,
62338,NONE,,YES,YES,YES,YES,YES,Not Available,16.0,265.0,"JAN 1, 2017",,,,MODERIZATION,REPLACED,,NO,Recycling bins,YES,YES,,REPLACED,2016.0,HOT WATER,NO,YES,NO,NO,YES,8AM TO 10PM,BASEMENT,NO,2.0,6.0,3.0,30.0,YES,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",M1E,,YES,Q RESIDENTIAL,PRIVATE,BACK OF PROPERTY,4152834.0,NO,YES,NO,80  MORNELLE CRT ,YES,YES,1972.0,YES,FREE,24,SINGLE PANE,1972.0,2018.0,2017.0,,,,,,,,
62339,NONE,Child play area,YES,YES,YES,YES,NO,Not Available,9.0,110.0,"JAN 15, 2017",OUTDOOR PLAYGROUND,,,COMPLETE MODERNIZATION,REPLACED,,NO,Recycling bins,YES,YES,,REPLACED,2007.0,HOT WATER,NO,YES,NO,NO,YES,8 AM TO 8 PM,MAIN FLOOR,NO,0.0,2.0,2.0,8.0,YES,YES,"Underground Garage , Surface Parking",M1E,,NO,AMAZ PROPERTY MANAGEMENT,PRIVATE,REAR,4152841.0,NO,NO,NO,217  MORNINGSIDE AVE ,YES,YES,1965.0,NO,FREE,25,DOUBLE PANE,1965.0,2007.0,2017.0,,,,,,,,
62340,NONE,Child play area,YES,NO,YES,YES,NO,0 indoor parking spots and 10 outdoor parking spots,4.0,71.0,"SEP 5, 2014",PLAY STRUCTURE WITH SLIDE,,,,REPLACED,YES,NO,Green Bin / Organics,YES,YES,WEST SIDE OF BUILDING,ORIGINAL,1959.0,HOT WATER,NO,YES,NO,YES,YES,8 AM TO 10 PM,BASEMENT,YES,0.0,0.0,1.0,8.0,NO,YES,Surface Parking,M3M,AS PER LEASING AGREEMENT,YES,,PRIVATE,WEST SIDE OF BUILDING,4154447.0,NO,YES,NO,25  SEELEY DR ,YES,YES,1959.0,YES,UNAVAILABLE,6,THERMAL,1959.0,2000.0,2017.0,,,,,,,,
62341,NONE,,YES,NO,YES,YES,NO,Not Available,3.0,11.0,,,,,,,,NO,Green Bin / Organics,YES,NO,OUTSIDE,REPLACED,2010.0,HOT WATER,NO,YES,NO,NO,YES,7AM-11PM,LOWER LEVEL,YES,0.0,13.0,0.0,6.0,YES,NO,"Ground Level Garage , Surface Parking",M6A,,NO,NV PROPERTY MANAGEMENT,PRIVATE,OUTSIDE,4154516.0,NO,YES,NO,54  NEPTUNE DR ,NO,,,,FREE,8,DOUBLE PANE,1955.0,,2017.0,,,,,,,,
62342,NONE,,YES,YES,YES,YES,NO,Not Available,3.0,10.0,"SEP 25, 2017",,,,,,,NO,Green Bin / Organics,YES,NO,ON THE SIDE OF THE BUILDING,REPLACED,2002.0,FORCED AIR GAS,NO,YES,NO,NO,YES,24 HOURS,GROUND FLOOR,YES,0.0,12.0,0.0,2.0,YES,YES,"Ground Level Garage , Surface Parking",M6A,NO PETS ALLOWED,NO,,PRIVATE,ON THE SIDE OF THE BUILDING,4154524.0,NO,YES,NO,22  HOTSPUR RD ,NO,,,,UNAVAILABLE,8,DOUBLE PANE,1957.0,,2017.0,,,,,,,,
62343,NONE,,NO,NO,YES,YES,NO,Not Available,3.0,10.0,,,,,,,,NO,Green Bin / Organics,YES,NO,OUTDOORS,REPLACED,2014.0,FORCED AIR GAS,NO,YES,NO,NO,YES,24 HOURS ,LOWER LEVEL,NO,0.0,0.0,0.0,2.0,YES,NO,"Ground Level Garage , Surface Parking",M6A,,NO,LAMAN INVESTMENTS INC,PRIVATE,OUTDOORS,4154527.0,NO,YES,NO,32  HOTSPUR RD ,NO,,,,UNAVAILABLE,8,SINGLE PANE,1957.0,,2017.0,,,,,,,,
62344,NONE,,YES,YES,YES,YES,NO,Not Available,3.0,12.0,,,,,,,,NO,Recycling bins,YES,NO,,REPLACED,2013.0,HOT WATER,NO,YES,NO,NO,YES,24 HOURS,BASEMENT,NO,0.0,0.0,0.0,4.0,YES,YES,"Ground Level Garage , Surface Parking",M6A,,YES,,PRIVATE,GARBAGE STORAGE AREA,4154528.0,NO,YES,NO,78  NEPTUNE DR ,NO,,,,FREE,8,SINGLE PANE,1956.0,,2017.0,,,,,,,,
62345,NONE,,YES,YES,YES,YES,NO,0 indoor parking spots and 10 outdoor parking spots,5.0,55.0,"NOV 15, 2016",,,,,ORIGINAL,,NO,Green Bin / Organics,YES,NO,OUTSIDE,ORIGINAL,1958.0,HOT WATER,NO,NO,NO,NO,YES,8 AM TO 10 PM,BASEMENT,YES,0.0,30.0,1.0,6.0,NO,YES,Surface Parking,M6C,,YES,CANLIGHT MANAGEMENT INC.,PRIVATE,OUTSIDE,4155010.0,NO,NO,NO,460  WINONA DR ,NO,,,YES,UNAVAILABLE,12,DOUBLE PANE,1958.0,,2017.0,,,,,,,,
62346,NONE,,YES,YES,YES,YES,YES,Not Available,6.0,124.0,"AUG 8, 2017",,,,,REPLACED,,YES,Green Bin / Organics,YES,NO,OUTSIDE,REPLACED,2006.0,HOT WATER,NO,YES,NO,NO,YES,8:00 AM - 10:30 PM,BASEMENT,YES,24.0,49.0,2.0,6.0,NO,YES,"Ground Level Garage , Surface Parking",M6C,,YES,2298097 ONTARIO INC,PRIVATE,OUTSIDE,4155011.0,NO,NO,NO,450  WINONA DR ,YES,YES,2006.0,YES,FREE,12,DOUBLE PANE,1960.0,2015.0,2017.0,,,,,,,,
62347,INDIVIDUAL UNITS,,YES,YES,YES,YES,NO,Not Available,9.0,68.0,"MAR 24, 2014",,,,,REPLACED,YES,NO,Recycling bins,YES,YES,,REPLACED,2011.0,HOT WATER,NO,YES,YES,YES,YES,24HRS,GROUND FLOOR,YES,0.0,1.0,2.0,8.0,NO,YES,"Underground Garage , Ground Level Garage , Garage accessible thru buildg , Surface Parking",M6E,LEASHED,YES,,PRIVATE,OUTSIDE,4155028.0,NO,YES,NO,620  NORTHCLIFFE BLVD ,YES,YES,2011.0,YES,FREE,12,DOUBLE PANE,1968.0,2018.0,2017.0,,,,,,,,
62348,,,,,,,, indoor parking spots and  outdoor parking spots,3.0,12.0,,,,,,,,,Not Available,,,,,,,,,,,,,,,,,0.0,,,,,M8V,,,,PRIVATE,,4155520.0,,,,122  FIFTH ST ,,,,,,3,DOUBLE PANE,1958.0,,,,,,,,,,
62349,NONE,,YES,NO,YES,NO,NO,Not Available,3.0,12.0,,,,,,,,NO,Green Bin / Organics,YES,NO,SAME AS GARBAGE,REPLACED,1984.0,HOT WATER,NO,YES,NO,NO,YES,24 HOURS,BASEMENT,YES,0.0,0.0,0.0,3.0,NO,YES,Surface Parking,M8V,,YES,SELF,PRIVATE,SAME AS GARBAGE,4155524.0,NO,YES,NO,104  SIXTEENTH ST ,NO,,,,UNAVAILABLE,3,DOUBLE PANE,1952.0,,2017.0,,,,,,,,
62350,NONE,Indoor recreation room,YES,YES,YES,YES,YES,20 indoor parking spots and 6 outdoor parking spots,14.0,133.0,"SEP 25, 2017",,,,,ORIGINAL,YES,NO,Green Bin / Organics,YES,YES,GARBAGE ROOM,REPLACED,1993.0,FORCED AIR GAS,YES,YES,YES,YES,YES,7:00AM - 10:30 PM,ROOF TOP,YES,9.0,17.0,2.0,13.0,YES,NO,"Underground Garage , Garage accessible thru buildg",M8V,,YES,,SOCIAL HOUSING,GARBAGE ROOM,4155536.0,NO,NO,NO,1  COIN ST ,YES,YES,1993.0,YES,FREE,3,DOUBLE PANE,1993.0,,2017.0,,,,,,,,
